Boiler Model,Burner Model,Number of identical boilers,Boiler capacity (Gross BTU),Boiler Installation Date,Age range of boiler,Is boiler dual fuel capable?,Primary Fuel,Total Estimated Cosumption - Low Estimate (Gallons) ,Needs to comply with Greener Greater Buildings Laws?,Deadline for complying with Audit and Retrocommissioning Law,Building Type,Total area of buildings on lot,Number of floors,Number of total units,Year constructed
KEWANEE 7L286-F,HEVE-DEG 84P,2,9.8,1993,16—20,Not Dual,#6,112676,Yes,2021,Elevator Apartments,176442,6,179,1974
KEWANEE 7L287,KEWANEE KM 7.5-1713-OH,1,10.29,1971,36—40,Not Dual,#6,150234,Yes,2019,Walk-Up Apartments,168555,25,2,1971
KEWANEE 7L76,I.C.I. AM 4DH,1,2.38,1969,41—45,Not Dual,#4,16800,No,0,Office Buildings,13690,5,11,1916
KEWANEE 7L80,HEV-E-OIL AM5DH,2,4.3,1969,41—45,Not Dual,#4,63000,No,0,Elevator Apartments,32640,5,3,1939
KEWANEE 837,PETRO WD 5 AH,2,4.2,1970,36—40,Not Dual,#6,57488,Yes,2017,Walk-Up Apartments,56126,15,16,1924
KEWANEE C,I.C.I. AM6 CM,1,3.6,1972,36—40,Not Dual,#4,71540,Yes,2019,Elevator Apartments,77556,12,46,1924
KEWANEE C-1782,ST JOHNSON A53-4LS,2,2.8,1957,50--,Not Dual,#4,122640,No,0,Elevator Apartments,11755,4,1,1900
KEWANEE C7L86,RAY AR 141-6,1,7,1973,36—40,Not Dual,#6,51100,Yes,2016,Loft Buildings,92782,6,78,1951
KEWANEE HM886,HEV-E-OIL AM7E,1,7.01,1974,36—40,Not Dual,#6,51100,No,0,Walk-Up Apartments,28148,4,1,1909
KEWANEE L3S-200-04JB,KEWANEE 200 KVP-5.0-1162,2,8.4,1985,21—26,Not Dual,#4,35000,Yes,2014,Elevator Apartments,164971,29,1,1917
KEWANEE LM 885,ICI DEG 84 (P),1,8.84,1981,26—30,Not Dual,#6,40241,Yes,2015,Elevator Apartments,448837,17,387,0
KEWANEE LM883,RAY AR 144 SIZE 5,1,4.9,1972,36—40,Not Dual,#6,24500,Yes,2019,Walk-Up Apartments,68940,12,6,1910
KEWANEE LW884,PETRO WD5AH,1,4.5,1969,41—45,Not Dual,#6,40880,No,0,Elevator Apartments,78530,30,1,2007
KEWANEE M8184,JOHNSON 130 AVH 4 1/2,1,5.6,1967,41—45,Not Dual,#4,21000,No,0,Elevator Apartments,44100,6,3,1951
KEWANEE MODEL UNKNOWN,I.C.I. DE-63,1,6.3,1973,36—40,Not Dual,#6,44355,Yes,2021,Condominiums,64957,11,69,1923
KEWANEE NKNOWN-PRT. FIREBOX TYPE,I.C.I. DE63S,1,4.2,1977,31—35,Not Dual,#6,80482,Yes,2018,Walk-Up Apartments,183919,14,53,1923
KEWANEE RM211,HEVEOIL AM5CM,1,4.2,1973,36—40,Not Dual,#4,30660,No,0,Elevator Apartments,39876,6,48,1941
KEWANEE TYPE C,HEV-E-OIL # DE-63,1,6.3,1970,36—40,Not Dual,#6,89425,Yes,2019,Elevator Apartments,76368,6,66,1936
KEWANEE TYPE C 2751,CLEAVER BROOKS,1,2,1957,50--,Not Dual,#4,1120,No,0,Elevator Apartments,8880,5,23,1910
KEWANEE UNKNOWN,TODD C,1,4.8,1973,36—40,Not Dual,#6,34748,Yes,2021,Walk-Up Apartments,76800,3,63,1939
KEWANEE UNKNOWN,RAY AR 131 5,2,4.9,1970,36—40,Not Dual,#4,56000,Yes,2016,Elevator Apartments,112578,14,15,1923
KEWANEE-FITZGIBBONS,HEVEOIL AM6E,1,4.2,1970,36—40,Not Dual,#6,21560,No,0,Educational Structures,45000,6,44,1936
KEWANEE-FITZGIBBONS D-100,PETRO WD 5 AH,1,3.8,1970,36—40,Not Dual,#6,24500,No,0,Elevator Apartments,41514,6,49,1932
KEWANEE-FITZGIBBONS TYPE ZU-M200,PETRO WD7AH,1,7.4,1969,41—45,Not Dual,#6,108332,Yes,2018,Loft Buildings,124081,15,62,1926
KEWANEE-LM881,S.T.JOHNSON A53L75,1,2.2,1955,50--,Not Dual,#4,16800,No,0,Walk-Up Apartments,39264,3,1,1927
KEWANEE(2) #7L219,HEVE DEG 175-S,2,100,1984,26—30,Not Dual,#6,172462,Yes,2015,Elevator Apartments,461475,32,318,1972
KEWANEE#532,ACE DREH #17,1,5.9,1970,36—40,Not Dual,#4,54300,Yes,2022,Elevator Apartments,93857,15,61,1926
KEWANEER -409,HEVE-OIL AMTH-4,1,2,1972,36—40,Not Dual,#4,19546,No,0,Walk-Up Apartments,23400,4,22,1920
KIRK & BIMPSON,PETRO W4AH,1,3.5,1974,36—40,Not Dual,#4,27300,Yes,2015,Elevator Apartments,70862,12,12,1911
MILLS 34W HB SMITH,PETRO W-3AP,1,0.2,1990,16—20,Not Dual,#4,5181,No,0,Walk-Up Apartments,28050,2,1,1952
NATIONAL  AC 6015,ICI  DEG 54 (P),1,6.3,1999,11—15,DUAL FUEL,#4,34109,Yes,2013,Walk-Up Apartments,75821,6,73,1959
NATIONAL  C 5495,HEV-E MM 42-S,1,3.7,1982,26—30,Not Dual,#4,27594,Yes,2020,Elevator Apartments,60000,3,6,1931
NATIONAL  CA-7820 S,TODD  D,1,8.99,1968,41—45,Not Dual,#6,76650,Yes,2014,Elevator Apartments,209920,14,160,1953
NATIONAL  UNKNOWN,ICI AME8,1,13,1970,36—40,Not Dual,#6,204400,Yes,2016,Elevator Apartments,211910,15,200,1941
NATIONAL (NRC) CA4885,ICI DEG 42YS,1,2.8,1981,26—30,Not Dual,#6,17500,No,0,Condominiums,29000,6,30,1951
NATIONAL A-407-S,HEV-E-OIL AM4 DH,1,1.4,1970,36—40,Not Dual,#4,10629,No,0,Elevator Apartments,10330,4,5,1910
NATIONAL C A 6015,ACE DPG H 50,1,6.3,1972,36—40,Not Dual,#4,37188,Yes,2013,Walk-Up Apartments,75821,6,73,1959
NATIONAL C7820,RAY AEOR 144 SIZE 300,1,10.5,1973,36—40,Not Dual,#6,86231,Yes,2014,Elevator Apartments,209920,14,160,1953
NATIONAL CA 6000,ACE UNIFLOW DPGH SIZE 35,1,4.9,1969,41—45,Not Dual,#6,35770,Yes,2014,Office Buildings,61187,6,57,1957
NATIONAL CA5485,ICI  #AM6ES,1,3.2,1971,36—40,Not Dual,#6,17500,Yes,2020,Walk-Up Apartments,55233,6,58,1950
NATIONAL DB 674,PETRO W6AH,1,6.29,1968,41—45,Not Dual,#6,51100,Yes,2021,Elevator Apartments,92357,10,59,1942
NATIONAL DB674,IC DE 84S,1,7,1972,36—40,Not Dual,#6,63748,Yes,2015,Elevator Apartments,94418,15,86,1947
NATIONAL NRC CA7820,HEV-E- DE84 S,1,8.2,1986,21—26,Not Dual,#6,57487,Yes,2018,Elevator Apartments,151800,7,110,1958
NATIONAL OB 613,ICI DE 54S,1,5,1977,31—35,Not Dual,#6,31500,Yes,2019,Elevator Apartments,55032,6,54,1942
NATIONAL OB 793,HEV-E-OIL DEG 105 P ( I.C.I. ),2,10.81,1980,26—30,Not Dual,#6,259392,Yes,2013,Loft Buildings,166742,19,93,1940
NATIONAL OB-613,ENTERPRISE  62-P,1,4.5,1967,41—45,Not Dual,#6,34405,Yes,2017,Office Buildings,71270,6,78,1941
NATIONAL OB-733,ICI DEG 63S,1,8.85,1989,21—26,Not Dual,#6,48111,Yes,2021,Elevator Apartments,92417,10,81,1941
NATIONAL OB434,HEVEOIL AM 4 DH,1,2.3,1983,26—30,Not Dual,#4,15330,No,0,Elevator Apartments,16200,3,15,1940
NATIONAL OB854,TODD RAH-D,1,12.6,1968,41—45,Not Dual,#6,45500,Yes,2019,Walk-Up Apartments,220003,20,145,1940
NATIONAL RADIATOR #6015,TODD  C,1,6.3,1972,36—40,Not Dual,#4,61320,Yes,2013,Walk-Up Apartments,70245,6,75,1956
NATIONAL RADIATOR CA7820,I C I DE 105-S,1,14.75,1979,31—35,Not Dual,#4,79716,Yes,2022,Elevator Apartments,123333,21,94,1958
NATIONAL RADIATOR CO. CA-6630 (EXG),INDUSTRIAL COMBUSTION DEG 84 S (NEW),1,8.19,1987,21—26,Not Dual,#6,62777,Yes,2015,Elevator Apartments,111675,6,84,1954
NATIONAL STEEL AC6615,I.C.I. DEG-84 S,1,10.22,1985,21—26,Not Dual,#6,30100,Yes,2015,Hotels,113670,8,88,1955
NATIONAL U S STEEL CA-6000,ACE DPGH SIZE 35,1,4.5,1969,41—45,Not Dual,#6,28000,Yes,2021,Factory & Industrial Buildings,54635,6,63,1959
NEW FEDERAL  FST-250,HEVE  LNDEG-145 S ( I.C.),1,10.33,1995,11—15,DUAL FUEL,#6,74734,Yes,2022,Elevator Apartments,116270,11,73,1925
NEW FEDERAL / EASTMOND FST-100,NEW HEVE (I.C.) MMG-42P,1,4.2,2001,5—10,DUAL FUEL,#4,28744,No,0,Store Buildings,40000,10,9,1909
NEW FEDERAL FST-100,I.C. DEG-42 P,2,3.79,1999,11—15,DUAL FUEL,#6,20772,Yes,2014,Elevator Apartments,77829,11,90,1957
NEW FEDERAL FST-80,NEW HEVE ME-34-P,1,3.1,1984,26—30,Not Dual,#6,22995,No,0,Educational Structures,38505,6,50,1937
NEW FEDERAL FST-80,NEW INDUSTRIAL COMB. DEG-42Y(P),1,3.3,1999,11—15,DUAL FUEL,#6,25039,Yes,2019,Walk-Up Apartments,62366,6,58,1925
NEW FEDERAL-FST 150,NEW IND.COMB.-DEG 63 P,2,6.3,2000,5—10,DUAL FUEL,#4,48111,Yes,2016,Walk-Up Apartments,111792,17,132,1956
NEW FEDERAL/EASTMOND FST-350 (NEW),HEVE (I.C.) DEG-145P  (EXSTG),2,11.72,2003,5—10,DUAL FUEL,#6,91980,Yes,2013,Office Buildings,352360,20,297,1961
NEW ROCKMILLS MP80,I.C.I. MMG-34-P,1,3.1,1984,26—30,Not Dual,#4,22995,No,0,Walk-Up Apartments,28458,6,65,1927
NEW-FEDERAL FST-125,NEW-I.C. DEG-54 P,1,5.3,1998,11—15,DUAL FUEL,#6,40241,Yes,2017,Elevator Apartments,54252,7,90,1963
OIL CITY  #466,RAY AR141-6,2,7,1971,36—40,Not Dual,#4,87862,Yes,2019,Office Buildings,129465,16,28,1920
OIL CITY  #922,INDUSTRIAL COMB.  DEG-105 S,1,10.81,1998,11—15,DUAL FUEL,#6,54040,Yes,2016,Elevator Apartments,842295,24,1,1920
OIL CITY & CROTTY P110WW,HEV-E DEG 84-P,1,7,1976,31—35,Not Dual,#6,103478,Yes,2017,Elevator Apartments,77858,14,44,1922
OIL CITY 1660,S T JOHNSON #150A53H3T,1,4.5,1968,41—45,Not Dual,#6,91980,Yes,2017,Elevator Apartments,121234,17,131,1929
OIL CITY 366,RAY AR-141-6,1,5.05,1971,36—40,Not Dual,#6,36894,Yes,2021,Elevator Apartments,73405,12,13,1916
OIL CITY 466,IRON FIREMAN A-06-9.8-60,1,8.4,1972,36—40,Not Dual,#6,54166,Yes,2018,Elevator Apartments,112398,10,71,1922
OIL CITY 472,ACE  DS GH 65,1,9.1,1969,41—45,Not Dual,#6,66430,Yes,2014,Elevator Apartments,319200,12,89,1914
OIL CITY 572,TODD RAH-C-1,2,9.1,1969,41—45,Not Dual,#6,120724,Yes,2014,Elevator Apartments,319200,12,89,1914
OIL CITY 7220,IRON FIREMAN #A06-9.8,2,16.2,1971,36—40,Not Dual,#6,118143,Yes,2022,Elevator Apartments,139142,6,96,1941
OIL CITY 920,TODD SIZE C,1,7,1970,36—40,Not Dual,#6,100028,Yes,2014,Warehouses,121642,14,50,1926
OIL CITY A66,ACE R50-2-06 DPGE,1,5.5,1970,36—40,Not Dual,#6,31500,Yes,2017,Elevator Apartments,116598,11,1,1915
PACIFIC  #52 L2,S.T.JOHNSON  150 1/2,2,5.32,1969,41—45,Not Dual,#6,70980,Yes,2017,Elevator Apartments,99238,17,95,1956
PACIFIC  #9303 A,PETRO WD7AH,1,0,1965,41—45,DUAL FUEL,#4,35000,Yes,2014,Walk-Up Apartments,145000,14,62,1926
PACIFIC  3323,HEVEOIL  AM 4 DH,1,1.08,1964,46—50,Not Dual,#4,1750,No,0,Walk-Up Apartments,18200,5,22,1920
PACIFIC  47 L 2,ICI  MMG-34 (P),1,5.43,1991,16—20,Not Dual,#4,21283,No,0,Educational Structures,37732,7,59,1960
PACIFIC  52 L 2,HEVE  MMG-54-S,1,5.3,1991,16—20,Not Dual,#4,34492,Yes,2018,Elevator Apartments,68659,6,84,1962
PACIFIC  52 L1,INDUSTRIAL  COMB. MMG-42 (P),1,4.06,1995,11—15,DUAL FUEL,#4,23710,Yes,2018,Elevator Apartments,66300,7,62,1959
PACIFIC  52L1,PETRO  WD4 AH,1,3.6,1970,36—40,Not Dual,#4,22772,No,0,Walk-Up Apartments,40101,11,17,1910
PACIFIC  60 LI,ST. JOHNSON 30 AH,1,6.3,1971,36—40,Not Dual,#4,88550,Yes,2015,Elevator Apartments,73770,6,101,1960
PACIFIC  740 A,HEVEOIL  AM 4 DH,1,1.9,1983,26—30,Not Dual,#4,12264,No,0,Walk-Up Apartments,19000,4,20,1929
PACIFIC  7581,INDUSTRIAL COMB. DEG-145 (S),1,12.63,1995,11—15,DUAL FUEL,#6,69138,Yes,2021,Walk-Up Apartments,150135,7,133,1968
PACIFIC  84 L 2 S,S.T. JOHNSON  FD68 CAHM-SIZE 400,2,21,1996,11—15,DUAL FUEL,#6,99225,Yes,2015,Elevator Apartments,266355,17,353,1974
PACIFIC  8473,HEV-E-OIL  AM 5 CM,1,4.06,1993,16—20,Not Dual,#4,22228,No,0,Elevator Apartments,15480,6,18,1920
PACIFIC  8680,ICI  DEG-252 (P),1,23.12,1992,16—20,Not Dual,#6,86730,Yes,2017,Elevator Apartments,606078,17,17,1921
PACIFIC  8680,ICI  DEG-252 P,1,33.04,2002,5—10,DUAL FUEL,#6,87500,Yes,2017,Loft Buildings,606078,17,17,1921
PACIFIC  913,SUNRAY  PMJ 534,1,5.5,1985,21—26,Not Dual,#4,20619,Yes,2015,Elevator Apartments,54000,2,19,1950
PACIFIC  9425,IND COMB.  DEG-145 P,1,15.5,2000,5—10,DUAL FUEL,#6,36855,Yes,2022,Elevator Apartments,317464,17,4,1920
PACIFIC  BN-212,HEVEOIL  AM  3DH,1,1.5,1968,41—45,Not Dual,#4,13414,No,0,Walk-Up Apartments,13400,5,11,1913
PACIFIC - 40 L 1,INDUSTRIAL COMBUSTION-AM4 1/2DH,1,2.5,1981,26—30,Not Dual,#4,18243,No,0,Elevator Apartments,34320,6,31,1931
PACIFIC - 60L1,IRON FIREMAN AG06-6.3-RK,1,6,1979,31—35,DUAL FUEL,#6,45965,Yes,2021,Walk-Up Apartments,77992,6,89,1959
PACIFIC - 60L1,INDUSTRIAL COMBUSTION - DEG -63(S),1,6.3,1981,26—30,Not Dual,#6,44176,Yes,2014,Office Buildings,74600,6,88,1960
PACIFIC -CA 6630,IND. COMB. DEG-84(S),2,16.4,1991,16—20,Not Dual,#6,125553,Yes,2018,Walk-Up Apartments,208415,17,180,1964
PACIFIC ( UNKNOWN ),ICI   MMG 28 S,1,2.59,1993,16—20,Not Dual,#4,18396,No,0,Educational Structures,43706,6,11,1920
PACIFIC (UNKNOWN),PETRO WD 5AM,1,7,1970,36—40,Not Dual,#6,39092,Yes,2017,Office Buildings,64272,8,51,1938
PACIFIC # 67L2,IRON FIREMAN - AGO 6-9.8-RK,2,9,1980,26—30,DUAL FUEL,#6,183292,Yes,2015,Elevator Apartments,275197,13,286,1959
PACIFIC # 730,HEV-E-OIL AL 3C,1,1.12,1961,46—50,Not Dual,#4,10220,No,0,Elevator Apartments,9695,5,20,1920
PACIFIC #213BN,HEV-E-OIL  AM 3,1,1.1,1965,41—45,Not Dual,#4,16352,No,0,Walk-Up Apartments,14450,6,19,1910
PACIFIC #4721,PETRO WD 4 AH,1,2.9,1972,36—40,Not Dual,#4,18396,No,0,Elevator Apartments,39000,5,37,1924
PACIFIC #52L-1,YORK #B55-100 (AHPM),1,4.2,1972,36—40,Not Dual,#6,30660,Yes,2015,Elevator Apartments,86612,12,99,1959
PACIFIC #67L2,L.C. DEG 84P,1,9,2002,5—10,DUAL FUEL,#6,31500,Yes,2020,Walk-Up Apartments,205000,18,189,1969
PACIFIC 214 BN,HEV-E OIL AMDH 4,1,1.7,1963,46—50,Not Dual,#4,12468,No,0,Walk-Up Apartments,12780,4,18,1928
PACIFIC 221,ICI #MEG42,1,4,1981,26—30,Not Dual,#6,15050,No,0,Elevator Apartments,41712,6,43,1928
PACIFIC 221,PETRO WD5AH,1,4.2,1970,36—40,Not Dual,#4,38325,Yes,2021,Elevator Apartments,58000,5,56,1929
PACIFIC 222,"TODD  ""B""",1,4.2,1970,36—40,Not Dual,#6,10804,Yes,2020,Walk-Up Apartments,51923,12,12,1927
PACIFIC 223,PETRO WD5AH,1,2.52,1955,50--,Not Dual,#4,30660,Yes,2019,Walk-Up Apartments,66227,15,30,1925
PACIFIC 224,IND COMB AMCF7,1,6.3,1970,36—40,Not Dual,#4,22400,No,0,Elevator Apartments,1259189,52,58,2003
PACIFIC 224,IRON FIREMAN A06-6-6.3,1,6.3,1970,36—40,Not Dual,#6,61882,Yes,2022,Elevator Apartments,60583,15,31,1925
PACIFIC 227,ST JOHNSON FO68 SIZE 200,3,12.4,1972,36—40,Not Dual,#4,76650,Yes,2016,Walk-Up Apartments,311477,12,45,1927
PACIFIC 229,HEV-E-OIL DE 105 S,1,14.53,1977,31—35,Not Dual,#6,77700,Yes,2016,Walk-Up Apartments,245676,16,345,1926
PACIFIC 2402,HEVEOIL AM 4 DH ( I.C.I. ),1,2.4,1971,36—40,Not Dual,#4,17374,No,0,Elevator Apartments,27200,4,32,1932
PACIFIC 2600,IRON FIREMAN AO 6-6.3,1,5.4,1973,36—40,Not Dual,#6,17500,Yes,2021,Elevator Apartments,64405,12,12,1910
PACIFIC 2671,IRON FIREMAN AO6-6.3-45,1,8.62,1973,36—40,Not Dual,#6,48290,Yes,2022,Elevator Apartments,98182,6,79,1933
PACIFIC 2983,HEVEOIL AL 3C,1,1.8,1956,50--,Not Dual,#4,13286,No,0,Elevator Apartments,7754,5,11,1930
PACIFIC 3382,HEV-E-OIL #AM4DH,1,2,1978,31—35,Not Dual,#4,4900,Yes,2017,Walk-Up Apartments,325000,26,2,2006
PACIFIC 3383,HEVEOIL AMD H4 ( I.C.I. ),1,2.4,1967,41—45,Not Dual,#4,11360,No,0,Elevator Apartments,22400,7,27,1948
PACIFIC 4722,HEVE MEG 34-S,1,3.3,1981,26—30,Not Dual,#6,20696,No,0,Elevator Apartments,31500,4,33,1932
PACIFIC 4782,HEVE MMG-34-S,1,3.4,1982,26—30,DUAL FUEL,#4,45863,No,0,Elevator Apartments,39567,5,82,1948
PACIFIC 4782,JOHNSON A53H-100,1,3.6,1972,36—40,Not Dual,#4,26572,No,0,Walk-Up Apartments,19374,6,37,1900
PACIFIC 4782,YORK B55 100 AHPM,1,3.6,1971,36—40,Not Dual,#6,30345,No,0,Walk-Up Apartments,39320,6,54,1931
PACIFIC 4791,IRON FIREMAN A06-4.5,1,2.5,1970,36—40,Not Dual,#6,18396,No,0,Elevator Apartments,45600,6,48,1936
PACIFIC 4792,IRON FIREMAN A064.5,1,3.6,1970,36—40,Not Dual,#6,40880,Yes,2018,Elevator Apartments,50160,6,47,1934
PACIFIC 47L1,PETRO WD4AH,1,2.1,1971,36—40,Not Dual,#4,19162,No,0,Elevator Apartments,32947,6,51,1963
PACIFIC 47L2,ICI DEG 42 P,1,4.07,1985,21—26,Not Dual,#6,28000,No,0,Walk-Up Apartments,29754,6,51,1961
PACIFIC 47L2,ICI DEG 42P,1,4.1,1985,21—26,Not Dual,#6,28000,No,0,Walk-Up Apartments,38864,7,51,1960
PACIFIC 5122,ST JOHNSON A53 SIZE 100,1,4.6,1972,36—40,Not Dual,#4,21000,No,0,Elevator Apartments,5280,4,5,2000
PACIFIC 52 L2-S,RAY AR 144-6,1,4.9,1969,41—45,Not Dual,#6,71540,Yes,2018,Office Buildings,90881,12,13,1917
PACIFIC 5212,ICI DE-63 P,1,6.44,1979,31—35,Not Dual,#6,62300,Yes,2020,Elevator Apartments,103004,16,111,1962
PACIFIC 5281,POWERFLAME  PAO6B5H,2,4.2,1975,31—35,Not Dual,#6,2100,Yes,2019,Elevator Apartments,105900,6,85,1953
PACIFIC 5282,1C1 AM 6E,1,4.4,1979,31—35,Not Dual,#6,39602,Yes,2014,Elevator Apartments,71652,6,67,1956
PACIFIC 5282,SUPERIOR AB AA680,1,5.3,1969,41—45,Not Dual,#6,27860,Yes,2015,Walk-Up Apartments,63360,6,67,1953
PACIFIC 5291,IRON FIREMAN A06-4.5,1,4.2,1971,36—40,Not Dual,#6,30660,Yes,2021,Walk-Up Apartments,54000,6,48,1938
PACIFIC 52L-2,ICI MM 63P,1,6.2,1988,21—26,Not Dual,#4,28000,No,0,Hotels,45183,6,1,1925
PACIFIC 52L1,PETRO WD 5 AH,1,3.8,1972,36—40,Not Dual,#6,34492,Yes,2016,Educational Structures,57414,6,68,1964
PACIFIC 52L1,PETRO WD 4 AH,1,4.2,1969,41—45,Not Dual,#6,20440,Yes,2017,Elevator Apartments,63460,6,81,1959
PACIFIC 52L1,ICI DE-42-S,1,4.45,1977,31—35,Not Dual,#6,30450,No,0,Elevator Apartments,41808,6,60,1963
PACIFIC 52L2,PETRO-WD5AH,1,4.3,1972,36—40,Not Dual,#4,31478,Yes,2019,Condominiums,59300,6,70,1962
PACIFIC 52L2,I.C.I. DEG 42-S,2,4.3,1980,26—30,DUAL FUEL,#6,62930,Yes,2018,Walk-Up Apartments,108131,14,114,1962
PACIFIC 52L2,ICI DEG 54P,1,5.25,1989,21—26,Not Dual,#6,28000,Yes,2015,Elevator Apartments,58340,7,19,1901
PACIFIC 52L2(EX),I.C.I. DE 63 S,1,7.42,1978,31—35,Not Dual,#6,27168,Yes,2014,Elevator Apartments,53910,6,69,1959
PACIFIC 52L2S,ICI  MMG-63 P,1,5.54,2002,5—10,DUAL FUEL,#4,34110,No,0,Walk-Up Apartments,45183,6,1,1925
PACIFIC 6081,ENTERPRISE H2-P,1,4.9,1969,41—45,Not Dual,#6,35770,Yes,2020,Walk-Up Apartments,58750,6,58,1940
PACIFIC 6081,IRON FIREMAN A0663,1,6.3,1972,36—40,Not Dual,#6,45990,Yes,2016,Elevator Apartments,75216,6,75,1948
PACIFIC 6082,TODD C-1,1,3.5,1968,41—45,Not Dual,#6,67708,Yes,2017,Elevator Apartments,147000,17,102,1948
PACIFIC 6082,ICI DE 63,1,6.3,1976,31—35,Not Dual,#6,45786,Yes,2015,Elevator Apartments,80282,7,84,1949
PACIFIC 6082,INDUSTRIAL COMBUSTION-DEG-84(P),1,7.4,1983,26—30,Not Dual,#6,56338,Yes,2015,Elevator Apartments,89000,6,103,1955
PACIFIC 6082,HEVE DEG-84-S (I.C.),1,7.4,1990,16—20,Not Dual,#6,57487,Yes,2022,Elevator Apartments,92854,6,104,1957
PACIFIC 6082,HEV-E-OIL AM7E,1,7.7,1970,36—40,Not Dual,#6,45990,Yes,2013,Walk-Up Apartments,109500,5,1,1930
PACIFIC 60L-2,TODD AO-8,2,7.42,1971,36—40,Not Dual,#6,54166,Yes,2013,Elevator Apartments,140633,6,155,1962
PACIFIC 60L1,YORK SHIPLEY C55-175,1,8.4,1978,31—35,Not Dual,#6,76650,Yes,2021,Elevator Apartments,114103,12,31,1917
PACIFIC 60L2,ICI DEG 63P,1,6.44,1989,21—26,Not Dual,#6,42000,Yes,2020,Condominiums,106050,6,122,1960
PACIFIC 60L2,ICI DEG 84S,1,7,1983,26—30,Not Dual,#6,56338,Yes,2018,Elevator Apartments,82826,14,108,1960
PACIFIC 60L2,TODD AO-8,2,7.4,1972,36—40,Not Dual,#6,56000,Yes,2016,Elevator Apartments,130118,6,171,1962
PACIFIC 60L2,PETRO WD6AH,1,7.42,1969,41—45,Not Dual,#6,17885,Yes,2014,Elevator Apartments,81900,6,94,1963
PACIFIC 60LZ,ICI DEG 63P,1,6.4,1985,21—26,DUAL FUEL,#6,35630,Yes,2021,Condominiums,99162,6,114,1963
PACIFIC 6781,TODD 50 PAVH,1,7.8,1968,41—45,Not Dual,#6,47071,Yes,2017,Elevator Apartments,155938,20,88,1953
PACIFIC 6781,TODD RAH-C,1,8.4,1972,36—40,Not Dual,#6,48034,Yes,2014,Office Buildings,172671,22,125,1929
PACIFIC 6782,ENTERPRISE H3-P,1,7,1984,26—30,Not Dual,#6,61703,Yes,2014,Elevator Apartments,111750,6,98,1952
PACIFIC 67L1,IRON FIREMAN AO6-6.3-4.5,1,6.3,1973,36—40,Not Dual,#6,43595,Yes,2021,Walk-Up Apartments,100380,6,99,1960
PACIFIC 67L1,I.C.I. DEG -84S,2,8.6,1981,26—30,Not Dual,#6,153300,Yes,2018,Elevator Apartments,177975,19,119,1958
PACIFIC 67L2,PETRO WD7,2,10.5,1967,41—45,Not Dual,#6,106288,Yes,2022,Walk-Up Apartments,257760,16,287,1963
PACIFIC 730A,I C I AM3DH,1,1.4,1973,36—40,Not Dual,#4,10220,No,0,Elevator Apartments,13872,5,24,1960
PACIFIC 75 L2,RAY PEOR-144,2,4.2,1978,31—35,Not Dual,#6,96234,Yes,2013,Elevator Apartments,324023,19,414,1960
PACIFIC 75-L-1,TODD SIZE D,1,12.6,1969,41—45,Not Dual,#4,114975,Yes,2014,Elevator Apartments,318000,6,2,1919
PACIFIC 75L1,PETRO WD8AH,2,5.35,1973,36—40,Not Dual,#6,183960,Yes,2014,Walk-Up Apartments,313293,7,246,1963
PACIFIC 75L2 (EXISTING),HEVE DEG-145P  (NEW),2,15.49,2003,5—10,DUAL FUEL,#6,80482,Yes,2013,Elevator Apartments,324023,19,414,1960
PACIFIC 823,RAY AEOR-144 SIZE 125,1,4.9,1969,41—45,Not Dual,#6,71540,Yes,2014,Elevator Apartments,129120,10,21,1926
PACIFIC 826,TODD MODEL C,2,6.3,1968,41—45,Not Dual,#6,96579,Yes,2022,Educational Structures,152342,18,266,1927
PACIFIC 84LS,ST JOHNSON FD6PCA500HM,2,15,1981,26—30,Not Dual,#6,231000,Yes,2020,Walk-Up Apartments,617105,34,681,1965
PACIFIC 8521,PETRO WD5AH,1,4.2,1968,41—45,Not Dual,#6,30660,Yes,2020,Elevator Apartments,52851,12,14,1914
PACIFIC 8671,I.C.I DEG 84P,1,12.18,1985,21—26,Not Dual,#6,14756,Yes,2017,Loft Buildings,68000,6,67,1939
PACIFIC 9103 A,ICI  MMG-34 P,1,3.77,2002,5—10,DUAL FUEL,#4,12862,No,0,Walk-Up Apartments,49015,12,18,1935
PACIFIC 9151 A,INDUSTRIAL COMBUSTION DEG-54(S),1,5.3,1982,26—30,Not Dual,#6,40241,Yes,2016,Elevator Apartments,57834,10,76,1929
PACIFIC 9212A (EXSTG),ICI DEG-63P (NEW),1,7.7,2005,5—10,DUAL FUEL,#6,35259,Yes,2021,Walk-Up Apartments,98609,10,68,1925
PACIFIC 9303A,ICI DEG 105S,2,8.4,1983,26—30,Not Dual,#6,121976,Yes,2020,Loft Buildings,182000,20,154,1958
PACIFIC 9364 A,ICI DEG 145 S,1,13.5,1981,26—30,Not Dual,#6,39200,Yes,2013,Walk-Up Apartments,154328,8,9,1911
PACIFIC 9364 A,HEV-E-OIL DEG 145 S ( I.C.I.),2,17.71,1986,21—26,Not Dual,#4,68985,No,0,Walk-Up Apartments,9825,6,204,1900
PACIFIC MODEL # 222,PETRO WD-5,1,4.2,1969,41—45,Not Dual,#6,42000,Yes,2013,Elevator Apartments,63167,14,28,1924
